crn,course,title,faculty,meeting,credits,enrolled
10897,ANTH 404 002,INDEPENDENT STUDY,"Faculty: Faubion, James D.",Meeting: TBA TBA,1 TO 9,Enrolled: 0 (Permission Required)
10235,ANTH 404 003,INDEPENDENT STUDY,"Faculty: Georges, Eugenia",Meeting: TBA TBA,1 TO 9,Enrolled: 0 (Permission Required)
10898,ANTH 404 005,INDEPENDENT STUDY,"Faculty: Ballestero, Andrea",Meeting: TBA TBA,1 TO 9,Enrolled: 1 (Permission Required)
13020,ANTH 404 006,INDEPENDENT STUDY,"Faculty: McIntosh, Susan K.",Meeting: TBA TBA,1 TO 9,Enrolled: 1 (Permission Required)
10899,ANTH 404 008,INDEPENDENT STUDY,Faculty:,Meeting: TBA TBA,1 TO 9,Enrolled: 0 (Permission Required)
10900,ANTH 404 009,INDEPENDENT STUDY,"Faculty: Mitchell, Beverly M.",Meeting: TBA TBA,1 TO 9,Enrolled: 0 (Permission Required)
10598,ANTH 404 011,INDEPENDENT STUDY,"Faculty: Fleisher, Jeffrey B.",Meeting: TBA TBA,1 TO 9,Enrolled: 0 (Permission Required)
11383,ANTH 407 001,LINGUISTIC FIELD METHODS,"Faculty: Englebretson, Robert E.",Meeting: 02:00PM - 02:50PM MWF TBA TBA,5,Enrolled: 0 (Max 10)
12497,ANTH 420 001,ETHNOGRAPHY STUDIO,"Faculty: Ballestero, Andrea",Meeting: 02:30PM - 05:29PM T TBA TBA,3,Enrolled: 3 (Max 12)
13031,ANTH 443 001,RACE ETHNICITY AND HEALTH,"Faculty: Mitchell, Beverly M.",Meeting: 02:30PM - 05:29PM T TBA TBA,3,Enrolled: 6 (Max 10)
11316,ANTH 446 001,ADV BIOMEDICAL ANTHROPOLOGY,"Faculty: Mitchell, Beverly M.",Meeting: 02:30PM - 05:29PM R TBA TBA,3,Enrolled: 8 (Max 10)
10889,ANTH 490 002,DIRECTED HONORS RESEARCH,"Faculty: Faubion, James D.",Meeting: TBA TBA,1 TO 3,Enrolled: 0 (Permission Required)
10236,ANTH 490 003,DIRECTED HONORS RESEARCH,"Faculty: Georges, Eugenia",Meeting: TBA TBA,1 TO 3,Enrolled: 0 (Permission Required)
10890,ANTH 490 005,DIRECTED HONORS RESEARCH,"Faculty: Ballestero, Andrea",Meeting: TBA TBA,1 TO 3,Enrolled: 1 (Permission Required)
10891,ANTH 490 006,DIRECTED HONORS RESEARCH,"Faculty: McIntosh, Susan K.",Meeting: TBA TBA,1 TO 3,Enrolled: 0 (Permission Required)
10892,ANTH 490 008,DIRECTED HONORS RESEARCH,"Faculty: Boyer, Dominic C.",Meeting: TBA TBA,1 TO 3,Enrolled: 0 (Permission Required)
10893,ANTH 490 011,DIRECTED HONORS RESEARCH,"Faculty: Fleisher, Jeffrey B.",Meeting: TBA TBA,1 TO 3,Enrolled: 2 (Permission Required)
10976,ANTH 495 002,ANTHROPOLOGY CAPSTONE,"Faculty: Faubion, James D.",Meeting: TBA TBA,3,Enrolled: 0 (Max 3)
10977,ANTH 495 003,ANTHROPOLOGY CAPSTONE,"Faculty: Georges, Eugenia",Meeting: TBA TBA,3,Enrolled: 1 (Max 3)
12265,ANTH 495 004,ANTHROPOLOGY CAPSTONE,"Faculty: Howe, Alyssa C.",Meeting: TBA TBA,3,Enrolled: 0 (Permission Required)
10978,ANTH 495 005,ANTHROPOLOGY CAPSTONE,"Faculty: Ballestero, Andrea",Meeting: TBA TBA,3,Enrolled: 0 (Max 3)
10979,ANTH 495 006,ANTHROPOLOGY CAPSTONE,"Faculty: McIntosh, Susan K.",Meeting: TBA TBA,3,Enrolled: 0 (Max 3)
12266,ANTH 495 007,ANTHROPOLOGY CAPSTONE,"Faculty: Boyer, Dominic C.",Meeting: TBA TBA,3,Enrolled: 0 (Permission Required)
10980,ANTH 495 009,ANTHROPOLOGY CAPSTONE,"Faculty: Mitchell, Beverly M.",Meeting: TBA TBA,3,Enrolled: 0 (Max 3)
10981,ANTH 495 011,ANTHROPOLOGY CAPSTONE,"Faculty: Fleisher, Jeffrey B.",Meeting: TBA TBA,3,Enrolled: 0 (Max 3)
10495,ANTH 500 001,LINGUISTIC ANALYSIS,"Faculty: Watters, Stephen",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 0 (Max 3)
10496,ANTH 501 001,PHONETICS,Faculty:,Meeting: 01:00PM - 01:50PM MWF TBA TBA,3,Enrolled: 1 (Max 1)
12744,ANTH 512 001,AFRICAN PREHISTORY,"Faculty: Fleisher, Jeffrey B.",Meeting: 01:00PM - 02:15PM TR TBA TBA,3,Enrolled: 2 (Max 19)
10834,ANTH 513 001,LANGUAGE AND CULTURE,"Faculty: Oko, Christina W.",Meeting: 01:00PM - 02:15PM TR TBA TBA,3,Enrolled: 0 (Max 5)
12500,ANTH 540 001,NEOLIBERALISM & GLOBALIZATION,"Faculty: Boyer, Dominic C.",Meeting: 01:00PM - 02:15PM TR TBA TBA,3,Enrolled: 6 (Max 25)
12496,ANTH 547 001,THE U.S. AS A FOREIGN COUNTRY,"Faculty: Faubion, James D.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 1 (Max 19)
12353,ANTH 550 001,HISTORICAL ANTHROPOLOGIES,"Faculty: Fanger, Claire L.; Faubion, James D.",Meeting: 02:00PM - 04:59PM M TBA TBA,3,Enrolled: 6 (Max 10)
11755,ANTH 581 001,MEDICAL ANTHROPOLOGY,"Faculty: Mitchell, Beverly M.",Meeting: 01:00PM - 02:15PM TR TBA TBA,3,Enrolled: 4 (Max 10)
10237,ANTH 600 002,INDEPENDENT STUDY,"Faculty: Faubion, James D.",Meeting: TBA TBA,1 TO 9,Enrolled: 5 (Max 10)
10238,ANTH 600 003,INDEPENDENT STUDY,"Faculty: Georges, Eugenia",Meeting: TBA TBA,1 TO 9,Enrolled: 1 (Max 10)
13057,ANTH 600 004,INDEPENDENT STUDY,"Faculty: Howe, Alyssa C.",Meeting: TBA TBA,1 TO 9,Enrolled: 3 (Max 10)
10894,ANTH 600 005,INDEPENDENT STUDY,"Faculty: Ballestero, Andrea",Meeting: TBA TBA,1 TO 9,Enrolled: 0 (Max 10)
10895,ANTH 600 008,INDEPENDENT STUDY,Faculty:,Meeting: TBA TBA,1 TO 9,Enrolled: 0 (Max 10)
10896,ANTH 600 009,INDEPENDENT STUDY,Faculty:,Meeting: TBA TBA,1 TO 9,Enrolled: 0 (Max 10)
10599,ANTH 600 011,INDEPENDENT STUDY,"Faculty: Fleisher, Jeffrey B.",Meeting: TBA TBA,1 TO 9,Enrolled: 0 (Max 10)
12498,ANTH 620 001,ETHNOGRAPHY STUDIO,"Faculty: Ballestero, Andrea",Meeting: 02:30PM - 05:29PM T TBA TBA,3,Enrolled: 2 (Max 12)
11317,ANTH 646 001,ADV BIOMEDICAL ANTHROPOLOGY,"Faculty: Mitchell, Beverly M.",Meeting: 02:30PM - 05:29PM R TBA TBA,3,Enrolled: 0 (Max 10)
11031,ANTH 650 001,PEDAGOGY,"Faculty: Howe, Alyssa C.",Meeting: TBA TBA,3,Enrolled: 2 (Max 10)
10239,ANTH 800 001,RESEARCH AND THESIS,"Faculty: Faubion, James D.",Meeting: TBA TBA,3 TO 9,Enrolled: 10 (Max 25)
12003,APPL 800 001,RESEARCH AND THESIS,"Faculty: Pimpinelli, Alberto F.",Meeting: TBA TBA,1 TO 15,Enrolled: 34 (Max 80)
10144,ARAB 101 001,INTRO TO MODERN ARABIC I,"Faculty: Awad, Maher M.",Meeting: 11:00AM - 12:29PM MWF TBA TBA,5,Enrolled: 7 (Max 19)
13050,ARAB 301 002,SEMINAR IN ARABIC I,"Faculty: Awad, Maher M.",Meeting: 01:00PM - 01:50PM MWF TBA TBA,3,Enrolled: 8 (Max 19)
11246,ARCH 101 001,PRINCIPLES OF ARCHITECTURE I,Faculty:,Meeting: 01:00PM - 04:59PM MWF TBA TBA,6,Enrolled: 0 (Permission Required)
10135,ARCH 201 001,PRINCIPLES OF ARCHITECTURE III,Faculty:,Meeting: 01:00PM - 04:59PM MWF TBA TBA,6,Enrolled: 16 (Max 40)
11037,ARCH 201 002,PRINCIPLES OF ARCHITECTURE III,Faculty:,Meeting: 01:00PM - 04:59PM MWF TBA TBA,6,Enrolled: 2 (Max 40)
11239,ARCH 207 001,TECHNOLOGY I - THE FRAME,"Faculty: Spieler, Christof T.",Meeting: 04:00PM - 05:15PM TR TBA TBA,3,Enrolled: 22 (Max 35)
11244,ARCH 225 001,HISTORY & THEORY I (INTRO),"Faculty: Geiser, Reto",Meeting: 10:00AM - 10:50AM MW TBA TBA; 10:00AM - 10:50AM F TBA TBA,3,Enrolled: 17 (Max 30)
10136,ARCH 301 001,INTERMEDIATE PROBLEMS ARCH I,Faculty:,Meeting: 01:00PM - 04:59PM MWF TBA TBA,6,Enrolled: 17 (Max 40)
11038,ARCH 301 002,INTERMEDIATE PROBLEMS ARCH I,Faculty:,Meeting: 01:00PM - 04:59PM MWF TBA TBA,6,Enrolled: 1 (Max 40)
10666,ARCH 307 001,INTRODUCTION TO LANDSCAPE,"Faculty: Albers, Andrew S.; Alfaro, Ernesto D.",Meeting: 07:00PM - 08:15PM TR TBA TBA,3,Enrolled: 5 (Max 25)
10137,ARCH 311 001,HOUSTON ARCHITECTURE,"Faculty: Fox, David S.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 17 (Max 25)
10138,ARCH 313 001,CASE STUDIES IN SUSTAIN DESIGN,"Faculty: Taylor, Rives T.",Meeting: 07:00PM - 09:45PM R TBA TBA,3,Enrolled: 24 (Max 25)
11249,ARCH 314 001,TECHNOLOGY III - THE ENVELOPE,"Faculty: Wittenberg, Gordon G.",Meeting: 04:00PM - 05:15PM TR TBA TBA,3,Enrolled: 22 (Max 22)
12941,ARCH 323 001,SEMINAR IN ARCHITECTURE,"Faculty: Vassallo Fernandez, Jesus",Meeting: 01:00PM - 03:29PM T TBA TBA,3,Enrolled: 5 (Max 25)
12943,ARCH 323 002,SEMINAR IN ARCHITECTURE,"Faculty: Finley, Dawn M.",Meeting: 01:00PM - 03:29PM R TBA TBA,3,Enrolled: 2 (Max 25)
11995,ARCH 327 002,RICE BUILDING WORKSHOP,"Faculty: Grenader, Nonya S.; Samuels, Danny M.",Meeting: 10:50AM - 12:35PM TR TBA TBA,4,Enrolled: 6 (Max 25)
11922,ARCH 329 001,STREETS AND URBAN LIFE,"Faculty: Hamadeh, Shirine T.",Meeting: 01:30PM - 04:29PM T TBA TBA,3,Enrolled: 8 (Max 15)
11477,ARCH 344 001,CONSTRUCTION & DESIGN,"Faculty: Parsons, Spencer W.",Meeting: 01:00PM - 03:29PM T TBA TBA,3,Enrolled: 2 (Max 25)
11253,ARCH 346 001,HISTORY & THEORY III 1890-1968,"Faculty: Colman, Scott W.",Meeting: 11:00AM - 11:50AM M TBA TBA; 11:00AM - 11:50AM WF TBA TBA,3,Enrolled: 20 (Max 28)
10139,ARCH 353 001,PHOTO FOR ARCHITECTS,"Faculty: White, Frank S.",Meeting: 09:25AM - 10:40AM T TBA TBA; 09:25AM - 10:40AM R TBA TBA,3,Enrolled: 9 (Max 25)
10140,ARCH 401 001,ADVANCED TOPICS ARCHITECTURE,Faculty:,Meeting: 01:00PM - 04:59PM MWF TBA TBA,6,Enrolled: 12 (Max 40)
11039,ARCH 401 002,ADVANCED TOPICS ARCHITECTURE,Faculty:,Meeting: 01:00PM - 04:59PM MWF TBA TBA,6,Enrolled: 1 (Max 40)
11247,ARCH 403 002,DEGREE PROJECT SEMINAR,"Faculty: Stewart-Halevy, Samuel",Meeting: 01:00PM - 03:29PM T TBA TBA,3,Enrolled: 3 (Max 25)
12039,ARCH 403 003,DEGREE PROJECT SEMINAR,"Faculty: Carpenter, Tei F.",Meeting: 07:00PM - 09:29PM T TBA TBA,3,Enrolled: 15 (Max 25)
11998,ARCH 412 003,ADV SEMINAR IN ARCHITECTURE,"Faculty: Stevens, Sara K.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 1 (Max 25)
12073,ARCH 412 005,ADV SEMINAR IN ARCHITECTURE,"Faculty: Witte, Ronald R.",Meeting: 07:00PM - 09:29PM M TBA TBA,3,Enrolled: 0 (Max 25)
10727,ARCH 423 001,PROF&MGMT IN ARCH PRACTICE,"Faculty: Fleishacker, Alan L.",Meeting: 09:25AM - 10:40AM TR TBA TBA,3,Enrolled: 12 (Max 19)
11060,ARCH 431 001,URBANISM I,"Faculty: Lerup, Lars G.",Meeting: 01:00PM - 03:29PM R TBA TBA,3,Enrolled: 7 (Max 25)
11064,ARCH 433 001,THE CULLINAN SEMINAR,"Faculty: Whiting, Sarah",Meeting: 09:00AM - 11:29AM F TBA TBA,3,Enrolled: 10 (Max 25)
12945,ARCH 459 001,MODERN BRAZIL,"Faculty: El-Dahdah, Fares",Meeting: 02:30PM - 03:45PM TR TBA TBA,3,Enrolled: 2 (Max 20)
10141,ARCH 461 001,SPECIAL PROJECTS,"Faculty: Hight, Charles C.",Meeting: TBA TBA,1 TO 9,Enrolled: 0 (Permission Required)
13144,ARCH 484 001,CONTEMP EAST ASIAN ART & ARCH,"Faculty: Nakamori, Yasufumi",Meeting: 06:00PM - 08:59PM T TBA TBA,3,Enrolled: 0 (Max 15)
10142,ARCH 500 001,PRECEPTORSHIP PROGRAM,"Faculty: Casbarian, John J.",Meeting: TBA TBA,15,Enrolled: 19 (Permission Required)
10143,ARCH 501 001,CORE DESIGN STUDIO I,Faculty:,Meeting: 01:00PM - 05:59PM MWF TBA TBA,10,Enrolled: 1 (Max 29)
10145,ARCH 503 001,CORE DESIGN STUDIO III,Faculty:,Meeting: 01:00PM - 05:59PM MWF TBA TBA,10,Enrolled: 3 (Max 40)
11040,ARCH 503 002,CORE DESIGN STUDIO III,Faculty:,Meeting: 01:00PM - 05:59PM MWF TBA TBA,10,Enrolled: 2 (Max 40)
10148,ARCH 507 001,TECHNOLOGY I - THE FRAME,"Faculty: Spieler, Christof T.",Meeting: 04:00PM - 05:15PM TR TBA TBA,3,Enrolled: 0 (Max 19)
11250,ARCH 514 001,TECHNOLOGY III - THE ENVELOPE,"Faculty: Wittenberg, Gordon G.",Meeting: 04:00PM - 05:15PM TR TBA TBA,3,Enrolled: 5 (Max 23)
12942,ARCH 523 001,SEMINAR IN ARCHITECTURE,"Faculty: Vassallo Fernandez, Jesus",Meeting: 01:00PM - 03:29PM T TBA TBA,3,Enrolled: 3 (Max 25)
12944,ARCH 523 002,SEMINAR IN ARCHITECTURE,"Faculty: Finley, Dawn M.",Meeting: 01:00PM - 03:29PM R TBA TBA,3,Enrolled: 3 (Max 25)
11245,ARCH 525 001,HISTORY & THEORY I (INTRO),"Faculty: Geiser, Reto",Meeting: 10:00AM - 10:50AM MW TBA TBA; 10:00AM - 10:50AM F TBA TBA,3,Enrolled: 1 (Max 10)
11924,ARCH 529 001,STREETS AND URBAN LIFE,"Faculty: Hamadeh, Shirine T.",Meeting: 01:30PM - 04:29PM T TBA TBA,3,Enrolled: 3 (Max 15)
11002,ARCH 600 001,M. ARCH. I INTERNSHIP,"Faculty: Wittenberg, Gordon G.",Meeting: TBA TBA,1 TO 15,Enrolled: 0 (Permission Required)
10149,ARCH 601 001,ARCHITECTURAL PROBLEMS:STUDIO,Faculty:,Meeting: 01:00PM - 05:59PM MWF TBA TBA,10,Enrolled: 19 (Max 19)
10153,ARCH 601 002,ARCHITECTURAL PROBLEMS:STUDIO,Faculty:,Meeting: 01:00PM - 05:59PM MWF TBA TBA,10,Enrolled: 7 (Max 19)
10155,ARCH 601 003,ARCHITECTURAL PROBLEMS:STUDIO,Faculty:,Meeting: 01:00PM - 05:59PM MWF TBA TBA,10,Enrolled: 3 (Max 19)
10522,ARCH 601 004,ARCHITECTURAL PROBLEMS:STUDIO,Faculty:,Meeting: 01:00PM - 05:59PM MWF TBA TBA,10,Enrolled: 1 (Max 19)
10667,ARCH 607 001,INTRODUCTION TO LANDSCAPE,"Faculty: Albers, Andrew S.; Alfaro, Ernesto D.",Meeting: 07:00PM - 08:15PM TR TBA TBA,3,Enrolled: 0 (Max 25)
10157,ARCH 610 001,"HIST, THEORY & STRUCTR: PARIS","Faculty: Casbarian, John J.",Meeting: 01:00PM - 04:59PM TR TBA TBA,6,Enrolled: 7 (Permission Required)
10161,ARCH 611 001,HOUSTON ARCHITECTURE,"Faculty: Fox, David S.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 0 (Max 25)
12000,ARCH 612 003,ADV SEMINAR IN ARCHITECTURE,"Faculty: Stevens, Sara K.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 1 (Max 25)
12076,ARCH 612 005,ADV SEMINAR IN ARCHITECTURE,"Faculty: Witte, Ronald R.",Meeting: 07:00PM - 09:29PM M TBA TBA,3,Enrolled: 5 (Max 25)
10165,ARCH 613 001,SUSTAINABLE DESIGN,"Faculty: Taylor, Rives T.",Meeting: 07:00PM - 09:45PM R TBA TBA,3,Enrolled: 2 (Max 25)
11267,ARCH 615 001,WOODSHOP SAFETY,"Faculty: Wittenberg, Gordon G.",Meeting: TBA TBA,1,Enrolled: 2 (Max 25)
10166,ARCH 620 001,ARCHITECTURAL PROBLEMS,"Faculty: Casbarian, John J.",Meeting: 01:00PM - 05:59PM MWF TBA TBA,10,Enrolled: 7 (Permission Required)
10728,ARCH 623 001,PROF&MGMT IN ARCH PRACTICE,"Faculty: Fleishacker, Alan L.",Meeting: 09:25AM - 10:40AM TR TBA TBA,3,Enrolled: 7 (Max 19)
11061,ARCH 631 001,URBANISM I,"Faculty: Lerup, Lars G.",Meeting: 01:00PM - 03:29PM R TBA TBA,3,Enrolled: 2 (Max 25)
11065,ARCH 633 001,THE CULLINAN SEMINAR,"Faculty: Whiting, Sarah",Meeting: 09:00AM - 11:29AM F TBA TBA,3,Enrolled: 10 (Max 25)
11478,ARCH 644 001,CONSTRUCTION & DESIGN,"Faculty: Parsons, Spencer W.",Meeting: 01:00PM - 03:29PM T TBA TBA,3,Enrolled: 0 (Max 25)
11421,ARCH 646 001,HISTORY & THEORY III 1890-1968,"Faculty: Colman, Scott W.",Meeting: 11:00AM - 11:50AM M TBA TBA; 11:00AM - 11:50AM WF TBA TBA,3,Enrolled: 4 (Max 28)
10177,ARCH 653 001,PHOTO FOR ARCHITECTS,"Faculty: White, Frank S.",Meeting: 09:25AM - 10:40AM T TBA TBA; 09:25AM - 10:40AM R TBA TBA,3,Enrolled: 2 (Max 25)
12946,ARCH 659 001,MODERN BRAZIL,"Faculty: El-Dahdah, Fares",Meeting: 02:30PM - 03:45PM TR TBA TBA,3,Enrolled: 2 (Max 20)
11243,ARCH 690 001,PEDAGOGY PRACTICUM,"Faculty: Wittenberg, Gordon G.",Meeting: TBA TBA,3,Enrolled: 0 (Permission Required)
10662,ARCH 691 001,REAL ESTATE DEVEL&ARCH DESIGN,"Faculty: Cannady, William T.; Duarte, Jefferson",Meeting: 02:30PM - 03:45PM TR TBA TBA,3,Enrolled: 0 (Permission Required)
12947,ARCH 693 001,THE SPATIAL DOMINANT,"Faculty: Pope, Albert H.",Meeting: 07:00PM - 09:29PM M TBA TBA,3,Enrolled: 10 (Max 19)
11142,ARCH 700 001,PRACTICUM,"Faculty: Wittenberg, Gordon G.",Meeting: TBA TBA,3,Enrolled: 0 (Permission Required)
10185,ARCH 703 001,DESIGN THESIS STUDIO,"Faculty: Colman, Scott W.",Meeting: 01:00PM - 05:59PM MWF TBA TBA,13,Enrolled: 14 (Max 99)
10186,ARCH 711 001,SPECIAL PROJECTS,"Faculty: Wittenberg, Gordon G.",Meeting: TBA TBA,1 TO 9,Enrolled: 3 (Max 10)
12065,ARCR 515 001,MAPPING LATINO ART,"Faculty: Alvarez, Mariola V.",Meeting: 02:00PM - 04:59PM W TBA TBA,3,Enrolled: 0 (Max 1)
10529,ARTS 225 001,DRAWING I,Faculty:,Meeting: 01:00PM - 03:59PM MW TBA TBA,3,Enrolled: 19 (Max 19)
10530,ARTS 225 002,DRAWING I,Faculty:,Meeting: 06:00PM - 08:59PM MW TBA TBA,3,Enrolled: 19 (Max 19)
11443,ARTS 225 003,DRAWING I,"Faculty: Bowdoin, Natasha M.",Meeting: 01:00PM - 03:59PM TR TBA TBA,3,Enrolled: 19 (Max 19)
12272,ARTS 280 001,HISTORY & AESTHETICS OF FILM,"Faculty: Dove, Charles",Meeting: 01:00PM - 04:59PM M TBA TBA,4,Enrolled: 3 (Max 19)
12327,ARTS 301 001,PAINTING STUDIO,"Faculty: Bowdoin, Natasha M.",Meeting: 06:00PM - 08:59PM TR TBA TBA,3,Enrolled: 10 (Max 10)
11665,ARTS 314 001,SCREEN PRINTING I,"Faculty: Hernandez, Carlos V.",Meeting: 09:00AM - 11:59AM TR TBA TBA,3,Enrolled: 3 (Max 10)
11666,ARTS 315 001,LINO + MONOPRINTING,"Faculty: Broker, Karin",Meeting: 01:00PM - 03:59PM TR TBA TBA,3,Enrolled: 4 (Max 12)
11667,ARTS 325 001,LIFE DRAWING,Faculty:,Meeting: 06:00PM - 08:59PM TR TBA TBA,3,Enrolled: 8 (Max 17)
11198,ARTS 327 001,DOCUMENTARY PRODUCTION,"Faculty: Stringer, Tish M.; Huberman, Brian M.",Meeting: 02:30PM - 05:29PM R TBA TBA,3,Enrolled: 0 (Max 19)
10531,ARTS 365 001,SCULPTURE I,Faculty:,Meeting: 06:00PM - 08:59PM MW TBA TBA,3,Enrolled: 19 (Max 19)
12328,ARTS 386 001,THE WEIMAR REPUBLIC,"Faculty: Emden, Christian J.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 2 (Max 15)
10595,ARTS 388 001,CRIT STUDIES STUDIO PRACTICE,Faculty:,Meeting: 06:30PM - 07:50PM MW TBA TBA,3,Enrolled: 8 (Max 19)
12331,ARTS 420 001,MONOTYPE II,"Faculty: Broker, Karin",Meeting: 04:00PM - 06:59PM TR TBA TBA,3,Enrolled: 0 (Max 10)
13034,ARTS 428 001,FILMMAKING II,"Faculty: Huberman, Brian M.; Stringer, Tish M.",Meeting: 01:00PM - 03:59PM T TBA TBA,3,Enrolled: 0 (Max 10)
10679,ARTS 499 001,SENIOR STUDIO,"Faculty: Sparagana, John L.",Meeting: 07:00PM - 09:59PM TR TBA TBA,3,Enrolled: 2 (Permission Required)
10241,ASIA 211 001,INTRO TO ASIAN CIVILIZATIONS,"Faculty: Smith, Richard J.; Balabanlilar, Lisa A.",Meeting: 02:30PM - 03:45PM TR TBA TBA,3,Enrolled: 7 (Max 17)
12341,ASIA 221 001,LIFE OF PROPHET MUHAMMAD,"Faculty: Cook, David B.",Meeting: 11:00AM - 11:50AM MWF TBA TBA,3,Enrolled: 1 (Max 24)
12358,ASIA 322 000,INTRODUCTION TO BUDDHISM,"Faculty: Klein, Anne C.",Meeting: 02:30PM - 03:45PM TR TBA TBA,3,Enrolled: 39 (Max 85)
12644,ASIA 332 001,FILM & CHINESE LITERATURE,"Faculty: Qian, Nanxiu",Meeting: 02:30PM - 03:45PM TR TBA TBA,3,Enrolled: 16 (Max 19)
