courseid,yearterm,year,term,crn,instructor,r_organization,r_assignments,r_quality,r_challenge,r_workload,r_satisfies,r_grade,r_pf,n_organization,n_assignments,n_quality,n_challenge,n_workload,n_satisfies,n_grade,n_pf,raw_title,raw_comments
2013 Spring_27892,2013 Spring,2013,Spring,27892.0,"Instructor: Bendixsen, Casper",Class Mean: 1.7,Class Mean: 1.6,Class Mean: 1.7,Class Mean: 1.6,Class Mean: 3.8,Class Mean: 2.5,Class Mean: 1.2,Class Mean: 5,Responses: 10,Responses: 10,Responses: 10,Responses: 10,Responses: 10,Responses: 10,Responses: 10,Responses: 3,27892 - ANTH 302 - ANTHROPOLOGICAL THEORY - Spring 2013,"Comments
The readings were a little dense, but it is a theory class so that's to be expected. Really good class for those interested in the socio/cultural thinking and history of anthropology.
This course is a doozie; lots and lots of reading. Three exams but they are take-home and you get plenty of time to work on them. All anth majors should take this course and early. I took it as a senior and realized that if I had had it earlier it would h
Typically, theory courses are a drag. But this one was not at all! This course helped me realize the importance of learning theory and being able to apply it and identify it through ethnographies written by others or those that I may pursue to write in th
I liked the approach of the lecture. It felt youth-orientated: theory in a way that college students could understand and apply to their own lives. As tedious as the reading responses felt at times, they were really helpful when it came to exploring and u
I chose ""somewhat heavier"" load simply because sometimes there was an outrageous amount of reading to do that was dense and complicated. It would have been nice to have some sort of ""textbook"" readings that introduce the complicated topics beforehand like
While I can't say this class was particularly fun (it was a theory class after all), I learned a ton and I know this class will help me with other anth classes I take in the future. In fact, I wish I'd taken it earlier because I think it would have made s
If you're an anthropology major, take this course. If you're not, you probably shouldn't take this course unless you're really interested in understanding what anthropology fundamentally is. It's challenging stuff, even though our professor did an awesome
Very comprehensive overview of anthropological theory, definitely a must for majors"
2013 Spring_25472,2013 Spring,2013,Spring,25472.0,Instructor: ,,,,,,,,,,,,,,,,,25472 - - - Fall 2014,
2013 Spring_27895,2013 Spring,2013,Spring,27895.0,"Instructor: Faubion, James D.",Class Mean: 1.8,Class Mean: 2.4,Class Mean: 1.9,Class Mean: 1.6,Class Mean: 3,Class Mean: 2,Class Mean: 1.3,Class Mean: 5,Responses: 10,Responses: 10,Responses: 10,Responses: 10,Responses: 10,Responses: 10,Responses: 10,Responses: 2,27895 - ANTH 349 - THE ANTHROPOLOGY OF ETHICS - Spring 2013,"Comments
Before taking this course, I didn't even know that Anthropology of Ethics was even a thing. Now that I've finished it, I've been given both access to and an understanding of a budding new field within anthropology- territory uncharted, a rare opportunity
Two assignments for the semester is obviously not that intimidating, but 60 pages of reading per class is. Considering we were reading Aristotle and Foucault, among many other brilliant and dense ancient and current philosophers, class discussion went ove
Because this is also a grad level class, it's just a little boring as an undergrad. It seemed like everything was directed toward the grad students since they were already experts on the things that we were reading."
2013 Spring_27893,2013 Spring,2013,Spring,27893.0,"Instructor: Park, Douglas P.",Class Mean: 2.5,Class Mean: 2.16,Class Mean: 2,Class Mean: 1.5,Class Mean: 2.83,Class Mean: 2.83,Class Mean: 1.33,Class Mean: 5,Responses: 6,Responses: 6,Responses: 6,Responses: 6,Responses: 6,Responses: 6,Responses: 6,Responses: 3,27893 - ANTH 355 - LANDSCAPE ARCHAEOLOGY - Spring 2013,"Comments
So useful to know how to use ArcGIS
I had no idea what to expect from this course, which turned out to be a basic introduction to the ArcGIS program with a focus in landscape archaeology. Although extremely interesting and helpful, I think this class probably should have been organized wit
If only ArcGis worked every time we wanted it to, this class would be beyond awesome. It makes me wish there were more classes for just working with the program! It's crazy useful.
This was a small class taught by a passionate professor so it was a great learning experience. The subject matter was interesting and the professor was able to adapt to the varying skill levels of the students - helping the weaker ones (like me) catch up"
2013 Spring_21111,2013 Spring,2013,Spring,21111.0,"Instructor: Fleisher, Jeffrey B.",Class Mean: 1.66,Class Mean: 1.16,Class Mean: 1,Class Mean: 1,Class Mean: 3.5,Class Mean: 2.66,Class Mean: 1.33,Class Mean: 5,Responses: 6,Responses: 6,Responses: 6,Responses: 6,Responses: 6,Responses: 6,Responses: 6,Responses: 2,21111 - ANTH 362 - ARCHAEOLOGICAL FLD TECHNIQUES - Spring 2013,"Comments
This course is very distinct from any other I have taken at Rice. I loved the research/field work component as well as the feeling that I was engaging with the community.
This course gives you some great hands on experience of what historic archaeology is like. At the beginning of the semester you meet on four weekends (both Saturdays and Sundays) to dig at the site. It takes up most of your weekend so be prepared to sacri
This class really shows if you are interested in archaeology or not. It is definitely not for non-majors unless they are truly interested in archaeology.
Excellent course, I learned a lot and made a few friends along the way. Take this course.
I really enjoyed this class. It was a great introduction into real excavation processes (which is a lot harder and more physically strenuous than I was expecting it to be). Although it takes up a majority of your weekends from the last weekend in January"
2013 Spring_27897,2013 Spring,2013,Spring,27897.0,"Instructor: Park, Douglas P.",Class Mean: 2.55,Class Mean: 2.33,Class Mean: 2.33,Class Mean: 2.16,Class Mean: 2.38,Class Mean: 2.22,Class Mean: 1.64,Class Mean: 3.66,Responses: 18,Responses: 18,Responses: 18,Responses: 18,Responses: 18,Responses: 18,Responses: 17,Responses: 9,27897 - ANTH 363 - EARLY CIVILIZATIONS - Spring 2013,"Comments
Pretty easy for a 300 course, but interesting compared to other early civ courses because it focuses away from typical Greek and Roman studies. Learned a lot of trivia about cultures I had previously not heard of.
Very interesting class, even for those like me who have zero previous experience with archaeology. Each class or two focused on one particular civilization to give a nice little sampling of all of them.
The organization of the class was sometimes confusing. For example, a paper was added that was never in the syllabus. Participation was worth a lot, but there were very few opportunities to participate in class. Powerpoints were used to present, but were
While I found the material studied in this course to be very interesting, I feel like the way the course was organized and taught made it feel rather bland. The professor was a good lecturer, but we deviated a lot from the initial organization of the cour
1 exam, a make-up essay (the professor was gone for a week, so he had us write a 5-10 page essay over civilization theory), and an essay. Almost no discussion, and the material was sometimes presented by the professor's wife, which could have been great,
Fun class with little work. I guess Dr. Park was roped into teaching this course as a visiting lecturer.
This class was interesting in its approach to learning about civilizations around the world. 2 exams, one paper. It wasn't extremely difficult, but the material was interesting.
Overall, this was a good course. As one would expect, the class really skimmed the surface and provided cursory looks at a wide variety of civilizations. Students were also taught a few basic concepts about the formation of civilizations and social stru
The original syllabus had us covering several more cultures than we ended up with, and I would have really liked to learn more about North and South American cultures. The class focused too much on Africa, which happens to be the specialty of all of the
Covered way too much. It was noticeable that the students that were retaining the information were students who probably had a little background in certain ancient civilizations before. The powerpoints were presented way too fast in a manner that made not
I liked the first half of this course better than the second half--the civilizations were more interesting and it seemed a bit more organized. Workload wasn't too bad, just reading, one midterm and a final. Dr. Park randomly inserted a 5-10 page paper whe
This class really dispels many commonly held myths about how certain civilizations such as Egypt, Babylon, Hawai'ian, Timbuktu, Benin, Kush, and Harappa were founded and how the societies lived. I learned a great deal about Archeology and its history, esp
Good course. I learned a lot about the different ancient civilizations (we covered about 12). I didn't learn a lot about world history and world geography in high school, so I had to read up a little bit before taking this class, but I don't think I was a"
2013 Spring_24080,2013 Spring,2013,Spring,24080.0,"Instructor: Mitchell, Beverly M.",Class Mean: 2.25,Class Mean: 2.1,Class Mean: 2.09,Class Mean: 2.2,Class Mean: 2.6,Class Mean: 2.05,Class Mean: 1.55,Class Mean: 4,Responses: 20,Responses: 19,Responses: 21,Responses: 20,Responses: 20,Responses: 20,Responses: 18,Responses: 12,24080 - ANTH 381 - MEDICAL ANTHROPOLOGY - Spring 2013,"Comments
The topics covered in this course are what makes it really great. The textbook and also the outside readings really challenged the way I thought about a lot of things related to medicine. I would say though, that the structure of the course as a three-hou
Incredibly interesting class. Even if you don't agree with the material presented (as I often didn't), the professor loves discussion and encourages criticizing the material, so it was very productive. It had a decent workload for a distribution course bu
Material used in the class seems a little bit out of date but some of it was interesting. Relatively easy class, coming from engineering the work load is extremely light.
This is a chill class. There are weekly readings and then one page reading responses per week. There are 2 short answer/multiple choice exams on the readings and a 12 page paper and 5 minute presentation of your paper topic due at the end of the semeste
Good course with interesting topics discussed. Class lasted the entire 3 hours but usually involved short videos and guest lectures.
This course is really interesting, just wish it was a 3 or 2 times a week class instead of one long 3 hour session.
My least favorite class at Rice. It's not a hard or challenging class, just way too much reading about many things I don't really care about. Maybe it would have been better if it wasn't a 3 hrs class. The materials feel repetitive; I would prefer coverin
I think everyone, pre-med or not, should take this class. It is so interesting and useful in that we basically critique the western biomedical culture. The topics we cover are interesting and I think it's just important for us to be aware of the limitatio
The readings for this class are interesting, but the discussions were difficult logistically because the class is so big. Also, because it only met once a week, there was a lot covered in each class.
This was a great class! The material was interesting and the discussion was engaging.
I loved this course. As an anth major, it's great to see such broad view of the medical anthropology field, and I enjoyed the course material. The assignments all contributed to the course objectives, and the seminar-style approach was my favorite part.
Very interesting topics not covered in other classes, it was a very good course for pre-meds and health science majors
The material was very interesting, but I just wish we had more time to read the articles. The class was three-hours long so it was often hard to pay attention for that entire time period."
2013 Spring_26817,2013 Spring,2013,Spring,26817.0,"Instructor: Peche, Linda H.",Class Mean: 1.8,Class Mean: 2,Class Mean: 1.9,Class Mean: 2,Class Mean: 3.33,Class Mean: 2.6,Class Mean: 1.44,Class Mean: 3.67,Responses: 10,Responses: 10,Responses: 10,Responses: 10,Responses: 9,Responses: 10,Responses: 9,Responses: 3,26817 - ANTH 387 - ASIAN AMERICAN COMMUNITIES - Spring 2013,"Comments
This class was very interesting and greatly expanded my understanding on Asian American communities and its many aspects and components. The readings were very beneficial and the class discussions were engaging and insightful.
This course is really neat because it analyzes certain themes within diasporic communities in America and hyphenated identities. The course has 2 exams, 2 papers, a project, and a presentation.
The class was very informative and covered all aspects of Asian American life and identity. It discusses not only social pressures, historical impacts, and self perceptions -- we also delved into how those existed in the first place.
Participation counts for a large part of the grade and participation is always ambiguous when it comes to grading. Also the oral history project counts for 40% and is a little time consuming when crammed into the end. But the course is sort of front loade
It was a good class, and the instructor was fair and very understanding
Power point presentations, a lot of materials to read. Would be nice if we can write more essays"
2013 Spring_27902,2013 Spring,2013,Spring,27902.0,Instructor: ,,,,,,,,,,,,,,,,,27902 - - - Fall 2014,
2013 Spring_21114,2013 Spring,2013,Spring,21114.0,"Instructor: Georges, Eugenia",Class Mean: 3.01,Class Mean: 3.01,Class Mean: 3.01,Class Mean: 1.01,Class Mean: 5.01,Class Mean: 2.01,Class Mean: 2.01,Class Mean: Infinity,Responses: 1,Responses: 1,Responses: 1,Responses: 1,Responses: 1,Responses: 1,Responses: 1,Responses: 0,21114 - ANTH 404 - INDEPENDENT STUDY - Spring 2010,
2013 Spring_27904,2013 Spring,2013,Spring,27904.0,Instructor: ,,,,,,,,,,,,,,,,,27904 - - - Fall 2014,
2013 Spring_27909,2013 Spring,2013,Spring,27909.0,"Instructor: Fleisher, Jeffrey B.",Class Mean: 1.33,Class Mean: 1.33,Class Mean: 1.33,Class Mean: 1.33,Class Mean: 3,Class Mean: 3.33,Class Mean: 1,Class Mean: 5,Responses: 3,Responses: 3,Responses: 3,Responses: 3,Responses: 3,Responses: 3,Responses: 3,Responses: 3,27909 - ANTH 404 - INDEPENDENT STUDY - Spring 2013,"Comments
This was my first time taking independent study. My project, which I completed with one other student, was very interesting (although a tad frustrating). It was mainly up to the students to organize the project and how we would finish."
2013 Spring_26492,2013 Spring,2013,Spring,26492.0,Instructor: ,,,,,,,,,,,,,,,,,26492 - - - Fall 2014,
2013 Spring_27899,2013 Spring,2013,Spring,27899.0,"Instructor: Ballestero, Andrea",Class Mean: 2.01,Class Mean: 1.01,Class Mean: 1.01,Class Mean: 1.01,Class Mean: 4.01,Class Mean: 2.01,Class Mean: 2.01,Class Mean: Infinity,Responses: 1,Responses: 1,Responses: 1,Responses: 1,Responses: 1,Responses: 1,Responses: 1,Responses: 0,27899 - ANTH 420 - ETHNOGRPHY STUDIO - Spring 2013,
